id,first_name,last_name,edad,puntos por partido,rebotes por partido
1,Hedwig,McIsaac,18,42,41
2,Adair,Leathe,41,6,62
3,Urbanus,Clewarth,35,10,17
4,Zsazsa,Nansom,44,27,24
5,Elita,Hanmore,27,70,68
6,Sada,Snaddin,19,94,66
7,Tommie,Dawney,48,35,85
8,Rinaldo,Geertje,20,77,44
9,Geordie,Boldra,26,34,30
10,Early,Knowlson,34,37,43
11,Avrit,Bainbridge,37,27,63
12,Eadmund,Gulliver,30,17,54
13,Milissent,Bishopp,35,80,87
14,Thor,Lacase,49,58,66
15,Michel,Lardnar,29,65,42
16,Trueman,Collip,18,56,14
17,Cori,Craven,32,99,68
18,Maurice,Wivell,44,71,43
19,Rodney,Wessell,35,31,79
20,Lind,Spaxman,44,12,42
21,Felice,Scotchmur,34,57,81
22,Gloriane,Sidlow,45,74,61
23,Benni,Venny,24,20,31
24,Kelcie,Vasovic,36,26,51
25,Klarrisa,Churchward,19,46,48
26,Rosabel,Simek,45,86,54
27,Ola,Stott,28,12,26
28,Eldin,Plumbley,43,100,39
29,Nobie,Edon,21,99,73
30,Bernadina,Cogle,25,60,75
31,Hugibert,Skeldon,22,13,4
32,Donall,Bavin,23,60,42
33,Brewer,Loomes,32,53,75
34,Garv,Mayo,42,59,78
35,Daryl,Clawe,24,43,100
36,Nara,Sybbe,35,31,54
37,Meridith,Clemencet,31,33,37
38,Diann,Masterson,23,25,55
39,Maura,Pethick,35,61,85
40,Red,Lias,43,28,13
41,Millie,Zanuciolii,33,22,37
42,Ilsa,Cantle,29,18,66
43,Osmond,Colafate,34,21,68
44,Heda,Cotter,35,85,10
45,Berny,Cocks,43,7,38
46,Hilliary,Du Hamel,36,88,73
47,Cinderella,Cannell,35,3,38
48,Hertha,Rossant,33,36,38
49,Myron,Stelfax,35,61,68
50,Jo-anne,Chanson,48,15,95
51,Dagmar,Shillito,26,84,97
52,Keen,Garman,34,21,76
53,Cristionna,Lowbridge,37,41,10
54,Roderick,Nacey,44,63,31
55,Artemas,Annable,42,91,4
56,Ferdinanda,Sunner,43,95,47
57,Feodora,Allworthy,49,29,98
58,Catherina,Stollenbeck,30,40,95
59,Gabbie,Jaime,18,39,4
60,Amabelle,Doorey,47,22,43
61,Amitie,Dempster,37,84,87
62,Anselm,Lambin,42,56,95
63,Nikoletta,Kadd,50,54,25
64,Valentina,Ziehm,35,57,1
65,Gracia,Fishlee,20,79,84
66,Farlee,Brownsill,37,50,35
67,Kayla,Saph,43,68,35
68,Amanda,Shillam,25,23,54
69,Eleonora,Farnhill,36,61,57
70,Finlay,Ferrarin,39,14,21
71,Edeline,Root,38,77,77
72,Clarke,Monkhouse,43,80,16
73,Kendal,Clendinning,34,93,70
74,Agosto,Morat,20,31,92
75,Olvan,Ager,49,35,49
76,Elnar,Marchenko,25,75,71
77,Susette,Muckian,47,44,42
78,Boy,Skett,43,68,65
79,Chadd,Baine,50,33,86
80,Gus,Bugg,29,74,47
81,Pattin,Breukelman,36,18,79
82,Peder,Waddilove,44,88,100
83,Marsiella,Marcombe,29,8,36
84,Clerkclaude,Grigori,47,34,51
85,Parsifal,Eliff,30,64,86
86,Igor,Simkovich,34,20,25
87,Doe,Frackiewicz,34,3,26
88,Lynsey,Halston,47,2,92
89,Lida,Jansik,36,80,14
90,Scarface,Pughe,37,45,53
91,Barn,Vondruska,50,91,78
